clave,Texto catalan,,
news.hero.title,Últimes notícies sobre transport marítim,,
news.hero.subtitle,"Descobriu informació exclusiva i actualitzada sobre el transport marítim internacional, amb especial atenció a Europa i al Nord d'Àfrica.",,
news.featured.readMore,Seguir llegint,,
news.sidebar.title,Articles recents,,
news.meta.title,Últimes notícies | Bongiorno Transport,,
news.meta.description,"Conegueu les últimes notícies i perspectives sobre transport internacional, logística i cadena de subministrament.",,
privacy.title,Política de privadesa,,
privacy.lastUpdated,Darrera actualització: 09/12/2025,,
privacy.controller.name,Bongiorno Srl,,
privacy.controller.piva,10408830155,,
privacy.controller.address,"Via del Gonfalone 4, 20123 Milano (MI) – Seu Secundària: Via Marsala 40/c, 21013 Gallarate (VA)",,
privacy.controller.email,bongiornosrl@bongiornosrl.com,,
privacy.controller.pec,bongiornosrl@legalmail.it,,
privacy.sections[0].id,intro,,
privacy.sections[0].heading,Informació d'acord amb l'art. 13 del GDPR,,
privacy.sections[0].subtitle,Reglament UE 2016/679 i D.Lgs. 196/2003,,
privacy.sections[0].content[0],"Us informem que les vostres dades personals seran tractades d'acord amb la normativa en matèria de protecció de dades personals, Reglament UE 2016/679 (“GDPR”) i D. Lgs. 196/2003 i ss.mm.ii. (“Codi de Privadesa”).",,
privacy.sections[1].id,dpo,,
privacy.sections[1].heading,Data Protection Officer (DPO),,
privacy.sections[1].content[0],"L'Empresa ha designat un Data Protection Officer (DPO), que pot ser contactat a la següent adreça de correu electrònic:",,
privacy.sections[1].content[1],luca.confalonieri@bongiornosrl.com,,
privacy.sections[2].id,data-categories,,
privacy.sections[2].heading,Categories de dades personals tractades,,
privacy.sections[2].content[0],Seran objecte de tractament les categories de dades següents:,,
privacy.sections[2].list[0],Dades personals de persones físiques que contacten amb l'empresa a través del lloc web o altres canals per sol·licitar cotitzacions o informacions.,,
privacy.sections[2].list[1],Dades societàries de subjectes diferents de persones físiques involucrades en sol·licituds o gestió d'enviaments.,,
privacy.sections[2].list[2],Dades relatives als béns a enviar.,,
privacy.sections[2].list[3],Dades relatives als llocs de recollida i entrega.,,
privacy.sections[2].list[4],"Dades relatives a la idoneïtat dels mitjans de transport i dels conductors per a enviaments subjectes a autoritzacions/restriccions específiques (per exemple mercaderies ADR/IMO, fora de gàlib).",,
privacy.sections[2].list[5],"Dades de les persones de contacte per a la cotització, els encàrrecs d'enviament, les sol·licituds d'informació, la facturació, els pagaments, la gestió d'impagaments i les contestacions.",,
privacy.sections[2].list[6],"Dades necessàries per satisfer exigències de transport, duanes i obligacions administratives requerides per Autoritats Públiques, Duanes, Transportistes, Navilieres, Companyies Aèries, Agents de Duanes, Companyies Asseguradores, Bancs, Auxiliars del transport i Forces de l'Ordre, tant nacionals com de la UE i extra-UE.",,
privacy.sections[3].id,legal-basis,,
privacy.sections[3].heading,Finalitats i bases jurídiques del tractament,,
privacy.sections[3].content[0],El tractament es fa exclusivament per a la consecució de les finalitats indicades pel Responsable.,,
privacy.sections[3].content[1],La base jurídica del tractament es fonamenta en:,,
privacy.sections[3].list[0],Consentiment;,,
privacy.sections[3].list[1],Execució de mesures precontractuals/contractuals de què l'interessat és part;,,
privacy.sections[3].list[2],Compliment d'obligacions legals a què està subjecte el responsable;,,
privacy.sections[3].list[3],Salvaguarda dels interessos vitals de linteressat o duna altra persona física;,,
privacy.sections[3].list[4],Execució duna missió dinterès públic o associada a lexercici de poders públics;,,
privacy.sections[3].list[5],Persecució de linterès legítim del Responsable o de tercers.,, l'interès legítim
privacy.sections[4].id,methods,,
privacy.sections[4].heading,Modalitats del tractament,,
privacy.sections[4].content[0],"El tractament es pot fer amb l'ús d'eines manuals, informàtiques i telemàtiques o sense.",,"amb o sense l'ús d'eines manuals, informàtiques i telemàtiques."
privacy.sections[4].content[1],"S'adopten mesures adequades per garantir la seguretat i la confidencialitat de les dades, d'acord amb els requisits legals.",,
privacy.sections[4].content[2],Durant el tractament no s'aplica cap procés de presa de decisions automatitzat.,,
privacy.sections[5].id,data-provision,,
privacy.sections[5].heading,Provisió de les dades personals,,
privacy.sections[5].content[0],La provisió de dades personals és estrictament necessària per a les finalitats indicades.,,
privacy.sections[5].content[1],La negativa total o parcial a proporcionar dades pot impedir l'execució del servei d'enviament.,,
privacy.sections[6].id,data-communication,,
privacy.sections[6].heading,Comunicació de les dades personals,,
privacy.sections[6].content[0],"Per a la consecució de les finalitats indicades, les dades personals podran ser comunicades a:",,
privacy.sections[6].list[0],Personal autoritzat d'acord amb l'art. 29 del GDPR i art. 2-quaterdecies del Codi de Privadesa;,,
privacy.sections[6].list[1],Empreses terceres designades com a Encarregats del tractament conforme a l'art. 28 del GDPR.,,
privacy.sections[6].content_after_list[0],L'interessat pot sol·licitar informació addicional escrivint al DPO els contactes indicats.,,
privacy.sections[7].id,transfer,,
privacy.sections[7].heading,Transferència de dades a l'estranger,,
privacy.sections[7].content[0],"Les dades personals es poden transferir a països de la UE, extra-UE o organitzacions internacionals depenent del servei sol·licitat.",,
privacy.sections[7].content[1],"En cas de transferència a països extra-UE, l'interessat atorga autorització expressa com a excepció als arts. 45 i seg. GDPR, en funció de les exigències i la localització territorial relacionada amb l'execució de l'encàrrec.",,
privacy.sections[8].id,rights,,
privacy.sections[8].heading,Drets de linteressat,,de l'interessat
privacy.sections[8].content[0],"Linteressat té dret a exercir en qualsevol moment els drets previstos pels arts. 15–22 del GDPR, entre ells:",,L'interessat
privacy.sections[8].list[0],"Accés a les dades personals ia la informació sobre finalitats, categories de dades, destinataris i període de conservació;",, i a la
privacy.sections[8].list[1],Rectificació de dades inexactes o integració de dades incompletes;,,
privacy.sections[8].list[2],Supressió de les dades en els casos previstos pel GDPR;,,
privacy.sections[8].list[3],Limitació del tractament;,,
privacy.sections[8].list[4],Portabilitat de les dades a un altre Responsable;,,
privacy.sections[8].list[5],Revocació del consentiment sense perjudici de la licitud del tractament previ;,,
privacy.sections[8].list[6],Oposició al tractament d'acord amb l'art. 21 GDPR;,,
privacy.sections[8].list[7],Dret a presentar una reclamació davant de l'Autoritat de Protecció de Dades (www.garanteprivacy.it).,,
privacy.sections[9].id,how-to-exercise,,
privacy.sections[9].heading,Modalitats per exercir els drets,,
privacy.sections[9].content[0],L'interessat pot exercir els seus drets escrivint al Responsable o al DPO els contactes indicats a la present política.,,
privacy.sections[9].content[1],Email del Responsable: bongiornosrl@bongiornosrl.com,,
privacy.sections[9].content[2],PAC: bongiornosrl@legalmail.it,,
privacy.sections[9].content[3],Email del DPO: luca.confalonieri@bongiornosrl.com,,
cookies.title,Utilitzem cookies ?,,
cookies.text,"Utilitzem galetes tècniques i, previ consentiment, analítiques per millorar la seva experiència.",,
cookies.privacyLink,Política de privadesa,,
cookies.accept,Acceptar-ho tot,,
cookies.decline,Rebutjar,,
cookies.customize,Personalitzi,,
cookies.customizeTitle,Preferències de cookies,,
cookies.customizeText,Trieu les categories de galetes que voleu autoritzar.,,
cookies.cancel,Cancel·la,,
cookies.save,Desar preferències,,
cookies.categories.essential.title,Essencials,,
cookies.categories.essential.desc,Cookies necessàries per al funcionament del lloc.,,
cookies.categories.analytics.title,Analítica,,
cookies.categories.analytics.desc,Galetes que ens ajuden a comprendre l'ús del lloc (Google Analytics).,,
cookies.categories.marketing.title,Màrqueting,,
cookies.categories.marketing.desc,Cookies utilitzades per a campanyes publicitàries i remàrqueting.,,
common.index,Índex,,
common.company,Bongiorno SRL,,
common.preventivo,Sol·licitar cotització,,
common.back_news,Tornar a les notícies,,
common.fallback_notice,Aquest article encara no està disponible en aquest idioma. Se'n mostra la versió italiana.,,
destinations.marocco.title,Transport Marroc,,
destinations.marocco.claim,La nostra dedicació al Marroc està consolidada des de fa dècades. Hem seleccionat i enfortit en el temps una col·laboració amb una realitat local que viatjava a la nostra mateixa ona. Per aconseguir lobjectiu comú de donar als clients cada vegada més motius per triar el nostre servei.,,
destinations.marocco.intro,"Oferim transport des d'Espanya, França i Itàlia als ports principals del Marroc.",,
destinations.marocco.image,/img/dest-marocco.webp,,
destinations.marocco.mapCoords[0],-144.46.00,,
destinations.marocco.mapCoords[1],162.57.00,,
destinations.marocco.mapMarkers[0].name,Casablanca,,
destinations.marocco.mapMarkers[0].coords[0],-105.18.00,,
destinations.marocco.mapMarkers[0].coords[1],128.31.00,,
destinations.marocco.mapMarkers[1].name,Tànger,,
destinations.marocco.mapMarkers[1].coords[0],-140.27.00,,
destinations.marocco.mapMarkers[1].coords[1],161.35.00,,
destinations.marocco.paragraphs[0],Les nostres dècades d'experiència ens permeten garantir el millor moment al mercat marroquí.,,
destinations.marocco.paragraphs[1],"Sabem que la rapidesa, no només en el transport, sinó també i sobretot en les intervencions a totes les dinàmiques locals, és una carta guanyadora per donar als nostres serveis d'enviament una garantia de qualitat.",,
destinations.marocco.paragraphs[2],"Coneixem la importància de la documentació que permet a tots els comerciants dur a terme les seves transaccions, i aconsellem i suggerim, fins i tot abans que comenci l'enviament, qualsevol particularitat que ho faci possible.",,
destinations.marocco.servicesTitle,Serveis Marroc,,
destinations.marocco.services[0],Serveis regulars de grupatge per mar a Casablanca,,d'agrupatge
destinations.marocco.services[1],"Possibilitat de carregar mercaderies perilloses completes i en grupatge, material rodant i càrregues excepcionals",,agrupatge
destinations.marocco.services[2],Possibilitat de lliuraments a domicili a tot el Marroc,,
destinations.marocco.services[3],Transport setmanal als ports de Tànger i Casablanca,,
destinations.marocco.services[4],Temps de trànsit molt ràpids,,
destinations.marocco.services[5],Assegurança a tot risc a petició,,
destinations.libia.title,Transport Líbia i Mauritània,,
destinations.libia.claim,"La cobertura total del Magrib també ens porta aquí. Amb la mateixa cura i atenció, amb serveis regulars de contenidors complets als principals ports.",,
destinations.libia.intro,"Oferim transport des d'Espanya, França i Itàlia als principals ports libis i mauritans.",,
destinations.libia.image,/img/dest-líbia-mauritània.webp,,
destinations.libia.mapCoords[0],13,,
destinations.libia.mapCoords[1],22,,
destinations.libia.mapMarkers[0].name,Trípoli,,
destinations.libia.mapMarkers[0].coords[0],44.53.00,,
destinations.libia.mapMarkers[0].coords[1],179.52.00,,
destinations.libia.mapMarkers[1].name,Mesura,,
destinations.libia.mapMarkers[1].coords[0],15.1,,
destinations.libia.mapMarkers[1].coords[1],32.37.00,,
destinations.libia.mapMarkers[2].name,Bengasi,,
destinations.libia.mapMarkers[2].coords[0],31.07.00,,
destinations.libia.mapMarkers[2].coords[1],51.27.00,,
destinations.libia.mapMarkers[3].name,Nouakchott,,
destinations.libia.mapMarkers[3].coords[0],-178.05.00,,
destinations.libia.mapMarkers[3].coords[1],32.18.00,,
destinations.libia.mapMarkers[4].name,Nouadhibou,,
destinations.libia.mapMarkers[4].coords[0],-22.33.00,,
destinations.libia.mapMarkers[4].coords[1],175.33.00,,
destinations.libia.paragraphs[0],"Les nostres dècades d'experiència i qualitat dels nostres serveis, certificats segons la norma ISO9001, ens permeten garantir uns serveis de transport complets, ràpids i eficaços.",,
destinations.libia.servicesTitle,Serveis per a Líbia i Mauritània,,
destinations.libia.services[0],Serveis regulars en contenidors complets,,
destinations.libia.services[1],"Transport setmanal als ports de Trípoli, Misurata i Bengasi, Nouakchott i Nuadibú.",,
destinations.libia.services[2],Possibilitat de carregar mercaderies perilloses i càrregues excepcionals,,
destinations.libia.services[3],Assegurança a tot risc a petició,,
destinations.mondo.title,El transport al món,,
destinations.mondo.claim,Gràcies als nostres socis de WCA arribem a tot arreu amb la qualitat garantida per la més gran i més extensa xarxa de transitaris internacionals.,,
destinations.mondo.intro,Serveis amb certificació mundial garantits per la nostra pertinença a la xarxa WCA.,,
destinations.mondo.image,/img/mondo.webp,,
destinations.mondo.mapCoords[0],21.13,,
destinations.mondo.mapCoords[1],46.06.00,,
destinations.mondo.mapMarkers[0].name,Canal de Panamà,,
destinations.mondo.mapMarkers[0].coords[0],-79.8,,
destinations.mondo.mapMarkers[0].coords[1],9.1,,
destinations.mondo.mapMarkers[1].name,Singapur,,
destinations.mondo.mapMarkers[1].coords[0],103.8,,
destinations.mondo.mapMarkers[1].coords[1],1.35,,
destinations.mondo.mapMarkers[2].name,Rotterdam,,
destinations.mondo.mapMarkers[2].coords[0],4.48,,
destinations.mondo.mapMarkers[2].coords[1],52.32.00,,
destinations.mondo.mapMarkers[3].name,Nova York,,
destinations.mondo.mapMarkers[3].coords[0],-74,,
destinations.mondo.mapMarkers[3].coords[1],40.7,,
destinations.mondo.servicesTitle,Serveis amb certificació mundial,,
destinations.mondo.services[0],Garantia de servei de la xarxa WCA,,
destinations.mondo.services[1],OEA i qualificació d'operador de qualitat ISO 9001,,
destinations.mondo.services[2],Sortides regulars en contenidors complets i grupatge,,
destinations.mondo.services[3],"Possibilitat de transportar Project Càrrec, mercaderies perilloses i càrregues excepcionals",,Projet Cargo 
destinations.mondo.services[4],Utilització de vectors regulars de primera importància i fiabilitat,,
destinations.mondo.services[5],Assegurança a tot risc a petició,,
destinations.algeria.title,Transport Algèria,,
destinations.algeria.claim,Tenim la nostra pròpia estructura a la zona des de fa molts anys. En coneixem la dinàmica i les peculiaritats. Vivim diàriament els canvis normatius i som capaços de prendre mesures immediates per garantir-ne el compliment.,,
destinations.algeria.intro,"Oferim transport des d'Espanya, França i Itàlia als ports d'Alger, Orà i tots els principals ports algerians.",,Oran
destinations.algeria.image,/img/dest-algeria.webp,,
destinations.algeria.mapCoords[0],107.33.00,,
destinations.algeria.mapCoords[1],28,,
destinations.algeria.mapMarkers[0].name,Algèria,,
destinations.algeria.mapMarkers[0].coords[0],12.48,,
destinations.algeria.mapMarkers[0].coords[1],161.38.00,,
destinations.algeria.mapMarkers[1].name,Orà,,
destinations.algeria.mapMarkers[1].coords[0],-106.57.00,,
destinations.algeria.mapMarkers[1].coords[1],151.27.00,,
destinations.algeria.paragraphs[0],L'experiència adquirida al llarg del temps i la presència de personal propi a la zona garanteixen la qualitat dels serveis i la fiabilitat de la infraestructura posada a la disposició dels clients.,,
destinations.algeria.paragraphs[1],"Sabem com la rapidesa, no només en el transport, sinó també i sobretot a la feina sobre totes les dinàmiques locals, és una carta per donar als nostres serveis de transport marítim una garantia de qualitat.",,
destinations.algeria.paragraphs[2],"Coneixem la importància de la documentació que permet a tots els comerciants dur a terme les seves transaccions, i aconsellem i suggerim, fins i tot abans que comenci l'enviament, qualsevol particularitat que ho faci possible.",,
destinations.algeria.servicesTitle,Serveis Algèria,,
destinations.algeria.services[0],Serveis regulars de grupatge per mar a Alger i Orà,,
destinations.algeria.services[1],Serveis regulars de contenidors a tots els ports algerians,,
destinations.algeria.services[2],"Possibilitat de carregar mercaderies perilloses completes i en grupatge, material rodant i càrregues excepcionals",,
destinations.algeria.services[3],Possibilitat de lliuraments porta a porta a tota Algèria,,
destinations.algeria.services[4],Temps de trànsit molt ràpids,,
destinations.algeria.services[5],Assegurança a tot risc a petició,,
destinations.tunisia.title,Tunísia Transport,,
destinations.tunisia.claim,Som un punt de referència al país per al transport cap ai des de l'Europa mediterrània.,,"cap a, i des de"
destinations.tunisia.intro,"Un creixement continu gràcies als nostres clients que, amb la seva fidelitat i gratitud, ens han donat l'impuls necessari per intentar satisfer les seves expectatives i exigències amb una cura i una atenció cada vegada més grans.",,
destinations.tunisia.image,/img/destinacions/tunisia.webp,,
destinations.tunisia.mapCoords[0],10.18,,
destinations.tunisia.mapCoords[1],36.8,,
destinations.tunisia.paragraphs[0],"Oferim transport des d'Espanya, França i Itàlia als ports de Tunísia, Susse i Sfax.",,Sousse
destinations.tunisia.paragraphs[1],"Les nostres dècades d'experiència i la nostra completa cadena de subministrament, amb magatzems propis i personal local, ens permeten garantir els millors terminis al mercat tunisià.",,
destinations.tunisia.paragraphs[2],L'experiència adquirida al llarg del temps i la presència de personal propi a la zona garanteixen la qualitat dels serveis i la fiabilitat de la infraestructura posada a la disposició dels clients.,,
destinations.tunisia.paragraphs[3],"Sabem com la rapidesa, no només en el transport, sinó també i sobretot a la feina sobre totes les dinàmiques locals, és una carta per donar als nostres serveis de transport marítim una garantia de qualitat.",,
destinations.tunisia.paragraphs[4],"Coneixem la importància de la documentació que permet a tots els comerciants dur a terme les seves transaccions, i aconsellem i suggerim, fins i tot abans que comenci l'enviament, qualsevol particularitat que ho faci possible.",,
destinations.tunisia.servicesTitle,Serveis Tunísia,,
destinations.tunisia.services[0],"Serveis quinzenals de grupatge a Tunísia, Susse i Sfax",,Sousse
